name,level,province,lat,lon,km_from_cbd
Bangkok,province,Bangkok,13.7524938,100.4935089,4.5
Samut Prakan,province,Samut Prakan,13.6531651,100.8182578,32.35
Nonthaburi,province,Nonthaburi,13.8610918,100.3456772,24.06
Pathum Thani,province,Pathum Thani,14.048667,100.5640405,33.74
Nakhon Pathom,province,Nakhon Pathom,13.8918425,100.0165659,58.23
Samut Sakhon,province,Samut Sakhon,13.5708192,100.2585874,35.67
Ayutthaya,province,Ayutthaya,14.3189468,100.5111681,63.69
Saraburi,province,Saraburi,14.6240563,100.8601022,103.68
Chon Buri,province,Chon Buri,13.1857117,101.1210777,88.94
Chachoengsao,province,Chachoengsao,13.6093192,101.5467201,110.4
Phra Nakhon,district,Bangkok,13.7526168,100.4933634,4.51
Dusit,district,Bangkok,13.7705456,100.5126084,3.58
Nong Chok,district,Bangkok,13.8563097,100.8630753,37.5
Bang Rak,district,Bangkok,13.7239499,100.5159599,3.23
Bang Khen,district,Bangkok,13.8755881,100.5969277,15.84
Bang Kapi,district,Bangkok,13.7640002,100.6448078,12.05
Pathum Wan,district,Bangkok,13.7461522,100.5310235,0.4
Pom Prap Sattru Phai,district,Bangkok,13.7439967,100.5147904,2.17
Phra Khanong,district,Bangkok,13.7023638,100.6015464,8.74
Min Buri,district,Bangkok,13.8084135,100.7326906,22.46
Lat Krabang,district,Bangkok,13.7223491,100.7528643,23.72
Yan Nawa,district,Bangkok,13.6797229,100.5435276,7.5
Samphanthawong,district,Bangkok,13.7378375,100.5103567,2.8
Phaya Thai,district,Bangkok,13.7797457,100.5424393,3.78
Thon Buri,district,Bangkok,13.7263574,100.4891324,5.41
Bangkok Yai,district,Bangkok,13.7393851,100.4854309,5.38
Huai Khwang,district,Bangkok,13.7785797,100.5745983,5.59
Khlong San,district,Bangkok,13.7300756,100.5085972,3.37
Taling Chan,district,Bangkok,13.7777,100.4570707,9.07
Bangkok Noi,district,Bangkok,13.7614899,100.4782009,6.32
Bang Khun Thian,district,Bangkok,13.6567671,100.4300809,15.08
Phasi Charoen,district,Bangkok,13.7166019,100.4487061,9.87
Nong Khaem,district,Bangkok,13.6783207,100.3453794,21.82
Rat Burana,district,Bangkok,13.6820852,100.5055091,7.84
Bang Phlat,district,Bangkok,13.7906938,100.5036137,5.94
Din Daeng,district,Bangkok,13.760352,100.5550843,2.68
Bueng Kum,district,Bangkok,13.7853565,100.6686311,15.09
Sathon,district,Bangkok,13.7213584,100.5305075,2.84
Bang Sue,district,Bangkok,13.8097113,100.5374364,7.02
Chatuchak,district,Bangkok,13.8030357,100.5502304,6.5
Bang Kho Laem,district,Bangkok,13.6956342,100.5014475,6.71
Prawet,district,Bangkok,13.7213599,100.6978082,17.84
Khlong Toei,district,Bangkok,13.7187306,100.5601721,4.14
Suan Luang,district,Bangkok,13.7194655,100.6129485,8.97
Chom Thong,district,Bangkok,13.699096,100.4666233,9.05
Don Mueang,district,Bangkok,13.9226541,100.6009966,20.84
Ratchathewi,district,Bangkok,13.7532229,100.5318599,0.8
Lat Phrao,district,Bangkok,13.8036791,100.590874,8.78
Watthana,district,Bangkok,13.7427931,100.5605006,2.82
Bang Khae,district,Bangkok,13.7107428,100.4208233,12.93
Lak Si,district,Bangkok,13.8843541,100.5816329,16.13
Sai Mai,district,Bangkok,13.92126,100.657842,23.54
Khan Na Yao,district,Bangkok,13.7954037,100.6912516,17.76
Saphan Sung,district,Bangkok,13.7684641,100.6854219,16.46
Wang Thonglang,district,Bangkok,13.7678209,100.598274,7.26
Khlong Sam Wa,district,Bangkok,13.8476118,100.728278,23.73
Bang Na,district,Bangkok,13.6730929,100.6068813,11.3
Thawi Watthana,district,Bangkok,13.7665133,100.3456085,20.54
Thung Khru,district,Bangkok,13.630436,100.5040026,13.34
Bang Bon,district,Bangkok,13.6715083,100.4218947,14.77
