lat,lon,road_class
13.5649438,100.9452017,motorway
13.5674733,100.9333283,motorway
13.5679193,100.9313727,motorway
13.5683995,100.9291108,motorway
13.5688304,100.9270733,motorway
13.5695315,100.9237853,motorway
13.5711954,100.9158991,motorway
13.5720123,100.9120282,motorway
13.5726435,100.9090506,motorway
13.5736503,100.9042996,motorway
13.5743415,100.9010329,motorway
13.5747514,100.8990987,motorway
13.5759486,100.8933192,motorway
13.5811328,100.8690128,motorway
13.7364477,100.561339,primary
13.7548419,100.5816416,primary
13.7545022,100.5838171,primary
13.7539586,100.586003,primary
13.7445221,100.5400143,primary
13.7449333,100.5376225,primary
13.7632034,100.544827,primary
13.7627626,100.5429665,primary
13.7200982,100.559144,primary
13.7544987,100.5818149,motorway
13.7544643,100.5794276,motorway
13.7534503,100.5760933,motorway
13.7528491,100.574316,motorway
13.7523538,100.5724057,motorway
13.7521232,100.5703207,motorway
13.7523319,100.5682672,motorway
13.7526617,100.5661788,motorway
13.7532055,100.5635931,motorway
13.856594,100.5415704,primary
13.9523609,100.6195477,motorway
13.9543785,100.6204919,motorway
13.9563411,100.6208775,motorway
13.9583525,100.6207969,motorway
13.9629428,100.6199949,motorway
13.9661639,100.6194157,motorway
13.9713516,100.618486,motorway
13.9766922,100.6175375,motorway
13.9819891,100.6166584,motorway
13.9866964,100.6158324,motorway
13.6899978,100.5235324,motorway
13.7140219,100.5548901,motorway
13.7526282,100.5229443,motorway
13.7505687,100.5222416,motorway
13.7485059,100.521399,motorway
13.7461494,100.5207636,motorway
13.7437315,100.5204375,motorway
13.8199598,100.7424841,trunk
13.6255777,100.5211615,motorway
13.6247156,100.519432,motorway
13.6223243,100.5146386,motorway
13.6215513,100.5121566,motorway
13.6207546,100.5024791,motorway
13.6203805,100.4977195,motorway
13.6200495,100.4935178,motorway
13.620022,100.4909246,motorway
13.6203876,100.4890763,motorway
13.6228484,100.4808687,motorway
13.6251293,100.4733183,motorway
13.6255026,100.471099,motorway
13.6261952,100.4495824,motorway
13.6265753,100.4382196,motorway
13.7642571,100.5382193,primary
13.7372122,100.5132119,primary
13.7570456,100.5017867,primary
13.7568111,100.5021877,primary
13.7563589,100.5040546,primary
13.7728639,100.2101586,trunk
13.7736939,100.2126422,trunk
13.7743673,100.214623,trunk
13.7750496,100.2166014,trunk
13.775765,100.2187267,trunk
13.7256519,100.5433994,primary
13.7250284,100.5412723,primary
13.7244249,100.5392426,primary
13.7238608,100.5373895,primary
13.7570622,100.52022,primary
13.7568251,100.5182396,primary
13.729716,100.7489504,motorway
13.7297914,100.7520354,motorway
13.7123443,100.5690901,motorway
13.7131063,100.57228,motorway
13.7133228,100.574268,motorway
