name,network,lat,lon
Surasak,BTS,13.7192683,100.5214619
Chong Nonsi,,13.7237969,100.529325
Ratchadamri,,13.7394708,100.5394496
Saphan Taksin,,13.7188128,100.514223
Hua Lamphong,,13.7375708,100.517135
Phra Ram 9,,13.7578166,100.5652774
Queen Sirikit National Convention Centre,,13.7226725,100.5599134
Lumphini,,13.7256066,100.5457249
Huai Khwang,,13.7786878,100.5735662
Sutthisan,,13.7894884,100.5740801
Ratchadaphisek,,13.7989706,100.5745537
Thailand Cultural Centre,,13.7661576,100.5701188
Lat Phrao,,13.806503,100.5728701
Phahon Yothin,,13.8128808,100.5614634
Chatuchak Park,MRT,13.8029643,100.5532845
Kamphaeng Phet,,13.7979484,100.5478837
Khlong Toei,,13.7221264,100.5543696
Pho Nimit,BTS,13.7192426,100.4859681
Talat Phlu,BTS,13.7142201,100.4766912
Wongwian Yai,BTS,13.7210816,100.4951594
Krung Thon Buri,BTS,13.7209307,100.5027176
Sala Daeng,,13.7285677,100.5343416
Wutthakat,,13.7130228,100.4689032
Saphan Khwai,,13.7938228,100.5497114
Siam,BTS,13.7456236,100.5342199
Tha Phra,,13.7296466,100.4740422
Bang Khun Non,,13.7633253,100.4732959
Charan 13,,13.7401714,100.4707092
Bang Phlat,,13.7924113,100.5048882
Bang Yi Khan,,13.777382,100.4852556
Bang O,,13.7989803,100.5097864
Bang Khae,,13.7119437,100.4223368
Bang Pho,,13.8064027,100.5210095
Bang Phai,,13.7246179,100.4650788
Phasi Charoen,,13.7129105,100.434326
Lak Song,,13.7108774,100.4094849
Phetkasem 48,,13.7155591,100.4454508
Wat Phra Sri Mahathat,BTS,13.8752766,100.5967316
Yaek Tiwanon,MRT,13.8395295,100.5149681
Wong Sawang,,13.8298636,100.526496
Bang Son,,13.820081,100.5324581
Khlong Bang Phai,MRT,13.8924338,100.4082161
Talad Bang Yai,MRT,13.8810117,100.409287
Sam Yaek Bang Yai,MRT,13.8746749,100.4193624
Bang Phlu,MRT,13.8757677,100.4338011
Bang Rak Yai,MRT,13.876607,100.4449359
Bang Rak Noi Tha It,MRT,13.8748084,100.4559653
Sai Ma,MRT,13.8705112,100.4666922
Phra Nang Klao Bridge,MRT,13.8702897,100.4801284
Yaek Nonthaburi 1,MRT,13.865961,100.4940765
Bang Krasor,MRT,13.8616527,100.5046524
Nonthaburi Civic Center,MRT,13.8601736,100.5130671
Ministry of Public Health,MRT,13.8485312,100.5147152
Mo Chit,,13.8026054,100.5537959
Ari,,13.7797077,100.5446201
Phaya Thai,,13.7569644,100.5338214
Ratchathewi,,13.7518605,100.5315534
Sanam Pao,,13.7726225,100.5420729
Bearing,,13.6611846,100.6018056
Bang Na,,13.668138,100.6046633
Phra Khanong,Sukhumvit Line,13.7151693,100.5912365
Victory Monument,,13.7627589,100.5370529
Udom Suk,,13.6798746,100.6094698
Punnawithi,,13.689279,100.6089963
Bang Chak,,13.6967594,100.6053402
On Nut,,13.7056249,100.601004
Asok,,13.7370432,100.5603571
Thong Lo,,13.7242264,100.5785054
Phrom Phong,,13.7304345,100.5697129
Nana,BTS,13.7405358,100.5554291
Phloen Chit,BTS,13.7430684,100.5489762
Chit Lom,BTS,13.7440974,100.5430684
Samrong,,13.6464875,100.5957857
Sukhumvit,,13.7373948,100.5613401
Ekkamai,,13.7195385,100.585111
Charoen Nakhon,BTS,13.7264621,100.5090694
Khlong San,BTS,13.7303066,100.5077213
Pu Chao,,13.6372768,100.5920064
Chang Erawan,,13.6215944,100.5901599
Royal Thai Naval Academy,,13.6084089,100.5949057
Pak Nam,,13.6021243,100.5970924
Srinagarindra,,13.5919965,100.6090352
Phraek Sa,,13.5841917,100.607905
Sai Luat,,13.5777755,100.6054607
Kheha,,13.5676866,100.6076939
Sirindhorn,,13.7838726,100.4933267
Yaek Kor Por Aor,,13.9250126,100.6258374
Royal Thai Air Force Museum,BTS,13.9179713,100.621691
Bhumibol Adulyadej Hospital,BTS,13.910714,100.6173961
Saphan Mai,BTS,13.8966129,100.6090774
Sai Yud,,13.888451,100.6042685
Phahonyothin 59,BTS,13.8824483,100.6007312
11th Infantry Regiment,BTS,13.8675784,100.5919727
Bang Bua,,13.856049,100.5851786
Royal Forest Department,BTS,13.850326,100.5818158
Kasetsart University,BTS,13.8423141,100.577105
Sena Nikhom,,13.8364057,100.5736286
Ratchayothin,BTS,13.8297477,100.5697222
Phahonyothin 24,BTS,13.8241206,100.5664253
Ha Yaek Lat Phrao,,13.8166807,100.5620359
Fai Chai,MRT,13.7558013,100.4693198
Bang Wa,,13.72079,100.4577913
Bang Wa,,13.7202698,100.4570233
Tao Poon,MRT,13.8061627,100.5307752
Saint Louis,BTS,13.720816,100.5266863
Krung Thon Buri,BTS,13.7211055,100.5037147
Khu Khot,,13.9323658,100.6465227
Lat Phrao 101,MRT,13.7746334,100.6298421
Nonthaburi Civic Center,MRT,13.8597221,100.5181159
Khae Rai,MRT,13.8626592,100.5206536
Sanambin Nam,MRT,13.8741356,100.5163213
Yaek Pak Kret,MRT,13.906199,100.505395
Samakkhi,MRT,13.8892782,100.5105744
Royal Irrigation Department,MRT,13.8985658,100.5070888
Pak Kret Bypass,MRT,13.9064956,100.515577
Chaeng Watthana-Pak Kret 28,MRT,13.9041584,100.5292604
Si Rat,MRT,13.9005741,100.5400085
Muang Thong Thani,MRT,13.8974279,100.5484467
